K,H,menor_cluster_n,menor_cluster_%,spam_no_menor_%,z_medio_vars_doador,Silhueta,ARI
2,1,1018,22.125624864159967,58.349705304518665,0.35868880484619536,0.29609380499143023,0.06855290211864161
2,2,34,0.738969789176266,0.0,6.347737364408453,0.6596309439335903,-0.00494969888751088
3,1,32,0.6955009780482504,12.5,5.812791330229683,0.25146823998278783,0.0784415275629891
3,2,34,0.738969789176266,0.0,6.347737364408453,0.24537947506560984,0.19836737946485616
3,3,34,0.738969789176266,0.0,6.347737364408453,0.1409212922202987,0.3854114847029058
4,1,22,0.47815692240817215,9.090909090909092,7.261023501866518,0.048425779609128035,0.09157673960534513
4,2,24,0.5216257335361878,0.0,7.441263852730722,0.24279690177261976,0.14930979826684454
4,3,24,0.5216257335361878,0.0,7.441263852730722,0.16196116945853542,0.274405485178691
4,4,29,0.630297761356227,0.0,6.840907442319555,0.15762401967536946,0.2450719122558436
