K,H,W_melhor,Silhueta,ARI,menor_cluster
2,1,253042.53683000372,0.18945499237347235,0.11993899037850138,1203
2,2,244665.7938433597,0.0964577794049225,0.535963145460628,1384
3,1,250484.33617407398,0.02522445752207004,0.09692718020952149,712
3,2,233071.8048084514,0.1415526372388217,0.3593045228467195,183
3,3,225299.12042690394,0.11867194449162391,0.4498726270534388,170
4,1,249369.2937938895,0.0017327947694139435,0.0818184694275567,240
4,2,230241.3277790943,0.04288436033518679,0.42045266950742255,266
4,3,220016.22790675546,0.12038884054583718,0.41712726763587504,33
4,4,219130.11762965756,0.12030988334891343,0.4368084978592295,33
