K,H,W_melhor,W_medio,W_pior,Silhueta,ARI,iteracoes,convergiu,execucoes_convergidas,tempo_s
2,1,256513.7482436999,256513.74824369987,256513.7482436999,0.29609380499143023,0.06855290211864161,11,True,100,1.4702398777008057
2,2,244486.69834951469,253508.20427440217,255020.8033255909,0.6596309439335903,-0.00494969888751088,34,True,100,2.6023929119110107
3,1,254414.0128791627,254414.01287916268,254414.0128791627,0.25146823998278783,0.0784415275629891,40,True,100,5.070164203643799
3,2,239373.65768175773,249021.53027248624,253970.93866979924,0.24537947506560984,0.19836737946485616,82,True,100,3.9477319717407227
3,3,234585.86636710563,241794.45083181505,252441.95358656507,0.1409212922202987,0.3854114847029058,33,True,100,4.0120368003845215
4,1,253278.67951747525,253278.67951747522,253278.67951747525,0.048425779609128035,0.09157673960534513,38,True,100,5.43485426902771
4,2,233358.7022137824,242737.2290458873,251038.47632963065,0.24279690177261976,0.14930979826684454,30,True,99,6.00413966178894
4,3,228516.44366872052,234976.14039548062,250354.93248736847,0.16196116945853542,0.274405485178691,47,True,100,5.612972021102905
4,4,227261.65090134562,233034.29694744403,249452.03621988776,0.15762401967536946,0.2450719122558436,27,True,100,6.803562164306641
