K,H,W*_oficial,W*_bloco_+10000,ARI_particao_vs_oficial_+10000,W*_bloco_+20000,ARI_particao_vs_oficial_+20000,oficial_e_o_melhor_de_300,p_hat_(300_execucoes),P(melhor_de_100_acha_o_melhor)
2,1,256513.7482436999,256513.7482436999,1.0,256513.7482436999,1.0,True,1.0,1.0
2,2,244486.69834951469,244486.69834951469,1.0,244486.69834951469,1.0,True,0.05,0.994079470779666
3,1,254414.0128791627,254414.0128791627,1.0,254414.0128791627,1.0,True,1.0,1.0
3,2,239373.65768175773,239373.65768175773,1.0,239373.65768175773,1.0,True,0.02,0.8673804441052471
3,3,234585.86636710563,234585.86636710563,1.0,234585.86636710563,1.0,True,0.27666666666666667,0.9999999999999915
4,1,253278.67951747525,253278.67951747525,1.0,253278.67951747525,1.0,True,1.0,1.0
4,2,233358.7022137824,233358.7022137824,1.0,233358.7022137824,1.0,True,0.22666666666666666,0.9999999999931345
4,3,228516.44366872052,228516.44366872052,1.0,228516.44366872052,1.0,True,0.14666666666666667,0.9999998706188344
4,4,227261.65090134562,227235.10650354845,0.883008401084936,227217.20252436443,0.9762909644609649,False,0.006666666666666667,0.4877276260790644
