estrategia,"(K*,H*)",Sil_em_K*,ARI_em_K*,tamanhos_em_K*,menor_cluster_em_K*_%,maior_ARI_da_grade,par_do_maior_ARI,posicao_pela_silhueta,menor_cluster_da_grade,"rho_Spearman(Sil,ARI)"
E0 · z-score (oficial),"(2,2)",0.6596309439335903,-0.00494969888751088,34 / 4567,0.738969789176266,0.3854114847029058,"(3,3)",8º de 9,22,-0.7166666666666667
E1 · dados brutos,"(2,1)",0.8443928955868427,0.0421803748538226,238 / 4363,5.172788524233862,0.10002691665060735,"(4,2)",9º de 9,5,-0.9327731092436976
E2 · min-max,"(2,1)",0.2230422963270211,0.09479470464561902,1139 / 3462,24.75548793740491,0.2042425040154473,"(3,3)",5º de 9,20,-0.049999999999999996
E3 · z-score recortado em ±3,"(2,1)",0.19044962405115576,0.14226895258756703,1140 / 3461,24.77722234296892,0.4608639003016415,"(2,2)",4º de 9,174,0.4666666666666666
E4 · log(1+x) + z-score,"(2,1)",0.18945499237347235,0.11993899037850138,1203 / 3398,26.146489893501414,0.535963145460628,"(2,2)",6º de 9,33,0.16666666666666669
E5 · log(1+x) + min-max,"(3,3)",0.12921869569729794,0.3911113830756633,265 / 1717 / 2619,5.759617474462074,0.3911113830756633,"(3,3)",1º de 9,190,0.7666666666666667
E6 · quantis → normal,"(3,3)",0.18291033996886724,0.2760790720404136,557 / 1252 / 2792,12.106063899152359,0.2760790720404136,"(3,3)",1º de 9,230,0.7999999999999999
E7 · binarização,"(2,1)",0.19211276000310964,0.11498857011051924,1646 / 2955,35.77483155835688,0.22891016652526958,"(4,2)",3º de 9,229,0.5499999999999999
