estrategia,Sil_do_rotulo,Sil_minima_da_grade,Sil_maxima_da_grade,pares_com_Sil_maior_que_o_rotulo
E0 · z-score (oficial),0.0440180461025369,0.048425779609128035,0.6596309439335903,9 de 9
E1 · dados brutos,0.1974828583951869,0.7167264935461295,0.8443928955868427,9 de 9
E2 · min-max,0.04410997977559728,0.048571730885373754,0.2230422963270211,9 de 9
E3 · z-score recortado em ±3,0.07619283129251472,0.002292888721790542,0.19044962405115576,5 de 9
E4 · log(1+x) + z-score,0.06832222667205495,0.0017327947694139435,0.18945499237347235,6 de 9
E5 · log(1+x) + min-max,0.08495977625334375,0.024264163852192988,0.12921869569729794,3 de 9
E6 · quantis → normal,0.10360760249687813,0.019886566610474013,0.18291033996886724,4 de 9
E7 · binarização,0.10912236193982823,0.06127323187957414,0.19211276000310964,8 de 9
