estrategia,participacao_34_emails_doador_%,participacao_1%_mais_extremos_%
E0 · z-score (oficial),8.678218803803162,20.41237177990271
E1 · dados brutos,0.1132154211719202,58.72044998075965
E2 · min-max,10.326938695911503,13.63509203501697
E3 · z-score recortado em ±3,3.9614084073518576,5.351495405236102
E4 · log(1+x) + z-score,6.911228177925304,10.488926676487898
E5 · log(1+x) + min-max,5.52595455262251,6.726739006002923
E6 · quantis → normal,1.7081586650516383,2.8583266381215084
E7 · binarização,1.2917271706785212,2.8883735525817054
